Category,Part,BOM Qty,In Stock,Net Need,Buy Qty,Notes,Search Term,Tayda_Link,Origin
Capacitors,10u,1,0,1,2,Rec: Electrolytic,10uF Electrolytic,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=10uF+Electrolytic"", ""Buy"")",Circuit Board
Capacitors,100u,1,0,1,2,Rec: Electrolytic,100uF Electrolytic,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=100uF+Electrolytic"", ""Buy"")",Circuit Board
Resistors,1k,1,0,1,10,Use 1/4W Metal Film (1%),1k ohm 1/4w metal film,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1k+ohm+1%2F4w+metal+film"", ""Buy"")",Circuit Board
Resistors,3.3k,1,0,1,10,Use 1/4W Metal Film (1%),3.3k ohm 1/4w metal film,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=3.3k+ohm+1%2F4w+metal+film"", ""Buy"")",Hardware Kit
Resistors,100k,2,0,2,10,Use 1/4W Metal Film (1%),100k ohm 1/4w metal film,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=100k+ohm+1%2F4w+metal+film"", ""Buy"")",Circuit Board
Resistors,1M,2,0,2,10,Use 1/4W Metal Film (1%),1M ohm 1/4w metal film,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1M+ohm+1%2F4w+metal+film"", ""Buy"")",Circuit Board
Hardware/Misc,AWG 24 Hook-Up Wire,3,0,3,3,,AWG 24 Hook-Up Wire,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=AWG+24+Hook-Up+Wire"", ""Buy"")",Hardware Kit
Hardware/Misc,Bezel LED Holder,1,0,1,1,,Bezel LED Holder,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=Bezel+LED+Holder"", ""Buy"")",Hardware Kit
Hardware/Misc,DC POWER JACK 2.1MM,1,0,1,1,,DC POWER JACK 2.1MM,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=DC+POWER+JACK+2.1MM"", ""Buy"")",Hardware Kit
Hardware/Misc,DIP SOCKET (Check Size),1,0,1,2,[AUTO] For chip safety.,DIP SOCKET (Check Size),"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=DIP+SOCKET+%28Check+Size%29"", ""Buy"")",Extras
Hardware/Misc,Dust Seal Cover,4,0,4,4,,Dust Seal Cover,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=Dust+Seal+Cover"", ""Buy"")",Hardware Kit
Hardware/Misc,Heat Shrink Tubing,1,0,1,1,,Heat Shrink Tubing,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=Heat+Shrink+Tubing"", ""Buy"")",Hardware Kit
Hardware/Misc,Knob,2,0,2,2,,Knob,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=Knob"", ""Buy"")",Hardware Kit
Hardware/Misc,Rubber Feet (Black),4,0,4,4,,Rubber Feet (Black),"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=Rubber+Feet+%28Black%29"", ""Buy"")",Hardware Kit
Hardware/Misc,3PDT FOOTSWITCH PCB,1,0,1,1,,3PDT FOOTSWITCH PCB,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=3PDT+FOOTSWITCH+PCB"", ""Buy"")",Hardware Kit
Hardware/Misc,3PDT STOMP SWITCH,1,0,1,1,,3PDT STOMP SWITCH,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=3PDT+STOMP+SWITCH"", ""Buy"")",Hardware Kit
Hardware/Misc,9V BATTERY CLIP,1,0,1,1,,9V BATTERY CLIP,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=9V+BATTERY+CLIP"", ""Buy"")",Hardware Kit
Hardware/Misc,1590B Enclosure,1,0,1,1,,1590B Enclosure,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1590B+Enclosure"", ""Buy"")",Hardware Kit
Hardware/Misc,6.35MM JACK (MONO),1,0,1,1,,6.35MM JACK (MONO),"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=6.35MM+JACK+%28MONO%29"", ""Buy"")",Hardware Kit
Hardware/Misc,6.35MM JACK (STEREO),1,0,1,1,,6.35MM JACK (STEREO),"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=6.35MM+JACK+%28STEREO%29"", ""Buy"")",Hardware Kit
